data,"""cpu"""
7/11/2020 0:00,27.6
7/11/2020 0:01,0.7
7/11/2020 0:02,1
7/11/2020 0:03,2.7
7/11/2020 0:04,0.9
7/11/2020 0:05,4.2
7/11/2020 0:06,1.1
7/11/2020 0:07,0.6
7/11/2020 0:08,3
7/11/2020 0:09,0.8
7/11/2020 0:10,3.7
7/11/2020 0:11,13.2
7/11/2020 0:12,1.3
7/11/2020 0:13,2.9
7/11/2020 0:14,11.7
7/11/2020 0:15,9.2
7/11/2020 0:16,1.1
7/11/2020 0:17,0.7
7/11/2020 0:18,4.1
7/11/2020 0:19,0.7
7/11/2020 0:20,4.1
7/11/2020 0:21,5.1
7/11/2020 0:22,2.5
7/11/2020 0:23,5.1
7/11/2020 0:24,1.1
7/11/2020 0:25,31.9
7/11/2020 0:26,16.6
7/11/2020 0:27,1.3
7/11/2020 0:28,3.3
7/11/2020 0:29,7.3
7/11/2020 0:30,6.4
7/11/2020 0:31,1.7
7/11/2020 0:32,1.6
7/11/2020 0:33,4.7
7/11/2020 0:34,6.9
7/11/2020 0:35,3.8
7/11/2020 0:36,0.9
7/11/2020 0:37,1.5
7/11/2020 0:38,3.2
7/11/2020 0:39,0.7
7/11/2020 0:40,3.2
7/11/2020 0:41,0.8
7/11/2020 0:42,1.6
7/11/2020 0:43,2.7
7/11/2020 0:44,1.2
7/11/2020 0:45,4.7
7/11/2020 0:46,1.1
7/11/2020 0:47,0.7
7/11/2020 0:48,3
7/11/2020 0:49,0.9
7/11/2020 0:50,3.3
7/11/2020 0:51,0.7
7/11/2020 0:52,1.3
7/11/2020 0:53,1.7
7/11/2020 0:54,2.8
7/11/2020 0:55,40.7
7/11/2020 0:56,3
7/11/2020 0:57,1
7/11/2020 0:58,3.5
7/11/2020 0:59,1
7/11/2020 1:00,42.3
7/11/2020 1:01,1.4
7/11/2020 1:02,1.5
7/11/2020 1:03,2.3
7/11/2020 1:04,1.1
7/11/2020 1:05,3.5
7/11/2020 1:06,1.1
7/11/2020 1:07,0.6
7/11/2020 1:08,3.1
7/11/2020 1:09,0.7
7/11/2020 1:10,8.1
7/11/2020 1:11,0.9
7/11/2020 1:12,1.2
7/11/2020 1:13,2.6
7/11/2020 1:14,7
7/11/2020 1:15,4.9
7/11/2020 1:16,1.1
7/11/2020 1:17,0.7
7/11/2020 1:18,2.7
7/11/2020 1:19,0.5
7/11/2020 1:20,8.9
7/11/2020 1:21,0.6
7/11/2020 1:22,1.6
7/11/2020 1:23,1.6
7/11/2020 1:24,4.8
7/11/2020 1:25,42.4
7/11/2020 1:26,1.2
7/11/2020 1:27,1.2
7/11/2020 1:28,8.6
7/11/2020 1:29,14.9
7/11/2020 1:30,11
7/11/2020 1:31,5.6
7/11/2020 1:32,3.5
7/11/2020 1:33,3.5
7/11/2020 1:34,5.9
7/11/2020 1:35,19.3
7/11/2020 1:36,0.7
7/11/2020 1:37,0.7
7/11/2020 1:38,5.2
7/11/2020 1:39,5.9
7/11/2020 1:40,6.7
7/11/2020 1:41,13.1
7/11/2020 1:42,1.3
7/11/2020 1:43,6.3
7/11/2020 1:44,14.6
7/11/2020 1:45,3.4
7/11/2020 1:46,0.7
7/11/2020 1:47,0.4
7/11/2020 1:48,2.9
7/11/2020 1:49,0.2
7/11/2020 1:50,7.6
7/11/2020 1:51,0.6
7/11/2020 1:52,0.9
7/11/2020 1:53,2.7
7/11/2020 1:54,3.9
7/11/2020 1:55,25.2
7/11/2020 1:56,1.7
7/11/2020 1:57,0.7
7/11/2020 1:58,2.7
7/11/2020 1:59,0.9
7/11/2020 2:00,9.5
7/11/2020 2:01,1
7/11/2020 2:02,5
7/11/2020 2:03,2.7
7/11/2020 2:04,0.5
7/11/2020 2:05,3.1
7/11/2020 2:06,0.5
7/11/2020 2:07,0.3
7/11/2020 2:08,3
7/11/2020 2:09,0.2
7/11/2020 2:10,5.8
7/11/2020 2:11,0.2
7/11/2020 2:12,1.1
7/11/2020 2:13,2.3
7/11/2020 2:14,5.9
7/11/2020 2:15,3
7/11/2020 2:16,0.5
7/11/2020 2:17,0.3
7/11/2020 2:18,2.7
7/11/2020 2:19,0.3
7/11/2020 2:20,6.2
7/11/2020 2:21,0.3
7/11/2020 2:22,1.3
7/11/2020 2:23,5
7/11/2020 2:24,5.6
7/11/2020 2:25,20
7/11/2020 2:26,11.8
7/11/2020 2:27,0.9
7/11/2020 2:28,6.6
7/11/2020 2:29,15.8
7/11/2020 2:30,8
7/11/2020 2:31,0.9
7/11/2020 2:32,1.2
7/11/2020 2:33,4.1
7/11/2020 2:34,6.1
7/11/2020 2:35,3.1
7/11/2020 2:36,0.5
7/11/2020 2:37,0.2
7/11/2020 2:38,2.7
7/11/2020 2:39,0.1
7/11/2020 2:40,3.1
7/11/2020 2:41,0.4
7/11/2020 2:42,2.2
7/11/2020 2:43,2.6
7/11/2020 2:44,0.4
7/11/2020 2:45,2.8
7/11/2020 2:46,0.5
7/11/2020 2:47,0.2
7/11/2020 2:48,2.5
7/11/2020 2:49,0.3
7/11/2020 2:50,5.5
7/11/2020 2:51,0.2
7/11/2020 2:52,1.1
7/11/2020 2:53,2.5
7/11/2020 2:54,5.4
7/11/2020 2:55,26.1
7/11/2020 2:56,1.3
7/11/2020 2:57,1.1
7/11/2020 2:58,3
7/11/2020 2:59,0.7
7/11/2020 3:00,7.3
7/11/2020 3:01,13.4
7/11/2020 3:02,1.5
7/11/2020 3:03,7.2
7/11/2020 3:04,0.6
7/11/2020 3:05,2.8
7/11/2020 3:06,0.5
7/11/2020 3:07,0.3
7/11/2020 3:08,2.9
7/11/2020 3:09,0.4
7/11/2020 3:10,3.4
7/11/2020 3:11,0.3
7/11/2020 3:12,0.9
7/11/2020 3:13,3.8
7/11/2020 3:14,5.7
7/11/2020 3:15,3
7/11/2020 3:16,0.5
7/11/2020 3:17,0.3
7/11/2020 3:18,3.1
7/11/2020 3:19,0.4
7/11/2020 3:20,2.7
7/11/2020 3:21,0.3
7/11/2020 3:22,1.2
7/11/2020 3:23,3.6
7/11/2020 3:24,21.4
7/11/2020 3:25,19.5
7/11/2020 3:26,3.6
7/11/2020 3:27,0.7
7/11/2020 3:28,29.7
7/11/2020 3:29,1
7/11/2020 3:30,4.4
7/11/2020 3:31,1.1
7/11/2020 3:32,1.5
7/11/2020 3:33,4
7/11/2020 3:34,7.1
7/11/2020 3:35,2.7
7/11/2020 3:36,0.5
7/11/2020 3:37,0.4
7/11/2020 3:38,3.6
7/11/2020 3:39,0.3
7/11/2020 3:40,8.1
7/11/2020 3:41,0.3
7/11/2020 3:42,1.1
7/11/2020 3:43,3.1
7/11/2020 3:44,2.7
7/11/2020 3:45,3.1
7/11/2020 3:46,0.4
7/11/2020 3:47,0.5
7/11/2020 3:48,3.4
7/11/2020 3:49,0.3
7/11/2020 3:50,2.8
7/11/2020 3:51,0.5
7/11/2020 3:52,1.2
7/11/2020 3:53,4.9
7/11/2020 3:54,4.3
7/11/2020 3:55,25.9
7/11/2020 3:56,2.2
7/11/2020 3:57,17
7/11/2020 3:58,3.9
7/11/2020 3:59,0.9
7/11/2020 4:00,3.7
7/11/2020 4:01,0.9
7/11/2020 4:02,1.6
7/11/2020 4:03,3.2
7/11/2020 4:04,1.2
7/11/2020 4:05,3.5
7/11/2020 4:06,0.4
7/11/2020 4:07,1.3
7/11/2020 4:08,6.6
7/11/2020 4:09,0.3
7/11/2020 4:10,6.3
7/11/2020 4:11,0.3
7/11/2020 4:12,1.5
7/11/2020 4:13,4.5
7/11/2020 4:14,5.5
7/11/2020 4:15,3.2
7/11/2020 4:16,0.5
7/11/2020 4:17,0.3
7/11/2020 4:18,2.5
7/11/2020 4:19,5.4
7/11/2020 4:20,7.4
7/11/2020 4:21,0.3
7/11/2020 4:22,1.1
7/11/2020 4:23,10.1
7/11/2020 4:24,6.3
7/11/2020 4:25,20.1
7/11/2020 4:26,4.2
7/11/2020 4:27,0.8
7/11/2020 4:28,3
7/11/2020 4:29,0.9
7/11/2020 4:30,10.1
7/11/2020 4:31,0.9
7/11/2020 4:32,1.6
7/11/2020 4:33,3.3
7/11/2020 4:34,5
7/11/2020 4:35,6.6
7/11/2020 4:36,1.1
7/11/2020 4:37,0.3
7/11/2020 4:38,11.7
7/11/2020 4:39,0.5
7/11/2020 4:40,4.7
7/11/2020 4:41,0.3
7/11/2020 4:42,1.1
7/11/2020 4:43,3.7
7/11/2020 4:44,0.7
7/11/2020 4:45,3.3
7/11/2020 4:46,0.5
7/11/2020 4:47,0.1
7/11/2020 4:48,2.3
7/11/2020 4:49,0.3
7/11/2020 4:50,3.3
7/11/2020 4:51,0.2
7/11/2020 4:52,1
7/11/2020 4:53,1.8
7/11/2020 4:54,8.4
7/11/2020 4:55,24.2
7/11/2020 4:56,1.4
7/11/2020 4:57,25
7/11/2020 4:58,2.6
7/11/2020 4:59,0.9
7/11/2020 5:00,5.8
7/11/2020 5:01,2.7
7/11/2020 5:02,1.5
7/11/2020 5:03,2.9
7/11/2020 5:04,1.1
7/11/2020 5:05,3.4
7/11/2020 5:06,0.9
7/11/2020 5:07,0.7
7/11/2020 5:08,3.3
7/11/2020 5:09,0.3
7/11/2020 5:10,2.7
7/11/2020 5:11,0.3
7/11/2020 5:12,1.1
7/11/2020 5:13,1.7
7/11/2020 5:14,4.8
7/11/2020 5:15,3.7
7/11/2020 5:16,0.4
7/11/2020 5:17,0.3
7/11/2020 5:18,2.6
7/11/2020 5:19,0.4
7/11/2020 5:20,3.2
7/11/2020 5:21,0.3
7/11/2020 5:22,0.8
7/11/2020 5:23,3.5
7/11/2020 5:24,20.7
7/11/2020 5:25,19.3
7/11/2020 5:26,11
7/11/2020 5:27,3.9
7/11/2020 5:28,3.3
7/11/2020 5:29,2.5
7/11/2020 5:30,8.3
7/11/2020 5:31,0.7
7/11/2020 5:32,1.3
7/11/2020 5:33,3.7
7/11/2020 5:34,17
7/11/2020 5:35,3.2
7/11/2020 5:36,8.2
7/11/2020 5:37,0.6
7/11/2020 5:38,10.6
7/11/2020 5:39,1
7/11/2020 5:40,8.1
7/11/2020 5:41,3.3
7/11/2020 5:42,1.3
7/11/2020 5:43,9.8
7/11/2020 5:44,1.8
7/11/2020 5:45,3.1
7/11/2020 5:46,0.3
7/11/2020 5:47,0.5
7/11/2020 5:48,11
7/11/2020 5:49,1.7
7/11/2020 5:50,3
7/11/2020 5:51,5.5
7/11/2020 5:52,1.1
7/11/2020 5:53,1.8
7/11/2020 5:54,15.1
7/11/2020 5:55,26.8
7/11/2020 5:56,1.5
7/11/2020 5:57,21
7/11/2020 5:58,3.7
7/11/2020 5:59,1.1
7/11/2020 6:00,4.4
7/11/2020 6:01,0.9
7/11/2020 6:02,14.4
7/11/2020 6:03,2.9
7/11/2020 6:04,11.8
7/11/2020 6:05,3.5
7/11/2020 6:06,0.7
7/11/2020 6:07,0.9
7/11/2020 6:08,5.5
7/11/2020 6:09,0.3
7/11/2020 6:10,6.7
